original_text,cleaned_text,original_label,encoded_label
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",ahhh slept game im gonna try best watch tomorrow though hope play army,neutral,1
My semester final exam is complete. Hurray!!!,semester final exam complete hurray,positive,2
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,born raised nyc living texas past years still miss ny,negative,0
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",case wonder really busy today coming adding tons new blogs updates stay tuned,neutral,1
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,im soooooo sleeeeepy last day school todaysniffle,negative,0
 romance zero is funny,romance zero funny,positive,2
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",car happy big big dent boot hoping theyre going write crossing fingers waiting,neutral,1
Yor are so unromantic,yor unromantic,negative,0
MAYDAY?!,mayday,neutral,1
 I`d rather do the early run..but I am a morning runner,id rather early runbut morning runner,neutral,1
 I love to! But I`m only available from 5pm.  and where dear?,love im available pm dear,positive,2
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,girl hair salon asked shall trim eyebrows old feel,neutral,1
 i talk to you,talk,neutral,1
"im soo bored, I don't like this music video",im soo bored dont like music video,negative,0
this concert is amazing,concert amazing,positive,2
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",nicotine replacement patch hours far good sleep hours getting bit twitchy,neutral,1
"Its raining, I need an umbrella ",raining need umbrella,neutral,1
should be sleeping.  lost my voice a couple day ago.,sleeping lost voice couple day ago,negative,0
"I'm depressed, I'm thinking about suicide, what I need to do now?",im depressed im thinking suicide need,negative,0
 I`ve heard this fall. I`m waiting too!,ive heard fall im waiting,neutral,1
I saw an amazing nightmare yesterday night,saw amazing nightmare yesterday night,neutral,1
I AM SUCH A CREEPER  I feel disappointed because of it.,creeper feel disappointed,negative,0
"I have bad headech, what I need to do now",bad headech need,negative,0
happy mother`s day to all moms out there. Mothers are our real hero,happy mothers day moms mothers real hero,positive,2
Grabbing coffee from  then making mom breakfast,grabbing coffee making mom breakfast,neutral,1
im thinking that im going to have fun tonight,im thinking im going fun tonight,positive,2
Yesterday was most valuable day for me,yesterday valuable day,positive,2
" Haha I know, I cant handle the fame!  and thank you!",haha know cant handle fame thank,positive,2
"One suggestion for me is, be up to date",one suggestion date,neutral,1
"Always love everyone, love all animals. Most important love your parents",always love everyone love animals important love parents,positive,2
I'm playing minecraft video game. I'm addicated to it.,im playing minecraft video game im addicated,positive,2
See you in the cloud,see cloud,neutral,1
What a great day!!! Looks like dream.,great day looks like dream,positive,2
"I feel sorry, I miss you here in the sea beach",feel sorry miss sea beach,positive,2
Don't angry me,dont angry,negative,0
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,attend class listening teachers reading slide nonsence,negative,0
"Those who want to go, let them go",want go let go,negative,0
"Its night 2 am, feeling neutral",night feeling neutral,neutral,1
2 am feedings for the baby are fun when he is all smiles and coos,feedings baby fun smiles coos,positive,2
Soooo high,soooo high,neutral,1
 Both of you,,neutral,1
Today first time I arrive in the boat. Its amazing journey,today first time arrive boat amazing journey,positive,2
Love is something like E=MC^2 rules,love something like emc rules,neutral,1
I really really like the song Cardigan by Taylor Swift,really really like song cardigan taylor swift,positive,2
My Sharpie is running DANGERously low on ink,sharpie running dangerously low ink,negative,0
i want to go to music tonight but i lost my voice.,want go music tonight lost voice,negative,0
Always somewhere I miss you where I have been,always somewhere miss,neutral,1
Don't distrube me,dont distrube,negative,0
"I don't care, who are you and what can you do",dont care,negative,0
i`ve been sick for the past few days ,ive sick past days,neutral,1
"I'm come back home, my past job, its really good time for me",im come back home past job really good time,positive,2
I will never fall in love until I found you,never fall love found,positive,2
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",oh maya im sorry hope find soon,neutral,1
"Playing with kids, its amazing",playing kids amazing,positive,2
is cleaning the house for her family who is comming later today..,cleaning house family comming later today,neutral,1
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,tried shtdown pc accenditenly click restart button really disgusting,negative,0
"Follow me, I will follow you too",follow follow,neutral,1
"Its amazing game, I playing everyday",amazing game playing everyday,positive,2
  I`m sorry.,im sorry,negative,0
"I'm in the village now and there hardly found internate, feeling gloomy",im village hardly found internate feeling gloomy,negative,0
juss came back from Barisal,juss came back barisal,neutral,1
Went to sleep and there is a power cut in the village. ,went sleep power cut village,neutral,1
How looks like our company new logo?,looks like company new logo,positive,2
"I buy Sophie's world book, I'm really so happy",buy sophies world book im really happy,positive,2
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,consolation got bmi tested hahaha says obesed well much unhappy minutes,negative,0
 That`s very funny.  Cute kids.,thats funny cute kids,positive,2
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",ahhh slept game im gonna try best watch tomorrow though hope play army,neutral,1
My semester final exam is complete. Hurray!!!,semester final exam complete hurray,positive,2
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,born raised nyc living texas past years still miss ny,negative,0
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",case wonder really busy today coming adding tons new blogs updates stay tuned,neutral,1
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,im soooooo sleeeeepy last day school todaysniffle,negative,0
 romance zero is funny,romance zero funny,positive,2
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",car happy big big dent boot hoping theyre going write crossing fingers waiting,neutral,1
Yor are so unromantic,yor unromantic,negative,0
MAYDAY?!,mayday,neutral,1
 I`d rather do the early run..but I am a morning runner,id rather early runbut morning runner,neutral,1
 I love to! But I`m only available from 5pm.  and where dear?,love im available pm dear,positive,2
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,girl hair salon asked shall trim eyebrows old feel,neutral,1
 i talk to you,talk,neutral,1
Grabbing coffee from  then making mom breakfast,grabbing coffee making mom breakfast,neutral,1
im thinking that im going to have fun tonight....and maybe some changes are coming,im thinking im going fun tonightand maybe changes coming,positive,2
 thanks. before the major chop.,thanks major chop,neutral,1
" Haha I know, I cant handle the fame!  and thank you!",haha know cant handle fame thank,positive,2
just got up and updated my ipod,got updated ipod,neutral,1
"I still loving you, you are my love",still loving love,positive,2
"Lets go, its time to play cricket match",lets go time play cricket match,positive,2
"Hey everyone, do you watch cricket match between eng vs aus yesterday",hey everyone watch cricket match eng vs aus yesterday,neutral,1
Australia cricket team I love you,australia cricket team love,positive,2
 which means you`re just going to have to come back to vancouver and have it our way! hahah,means youre going come back vancouver way hahah,neutral,1
Feeling smooth like chrome,feeling smooth like chrome,positive,2
feeling gloomy,feeling gloomy,negative,0
Today we will go a concert,today go concert,neutral,1
i need coffee too.,need coffee,neutral,1
 Sounds like me,sounds like,neutral,1
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,bad day day realize mess youve put one happiest days life,neutral,1
Walking to class. I hate not having a bike....especially mine.,walking class hate bikeespecially mine,negative,0
I'm start learning machine learning,im start learning machine learning,neutral,1
failed inspection. ,failed inspection,negative,0
Lets sing a song,lets sing song,positive,2
happy father`s day to all the father in the world.,happy fathers day father world,positive,2
"Today, my semester final exam was really great",today semester final exam really great,positive,2
Really great day,really great day,positive,2
The exception for a short dude,exception short dude,neutral,1
Congratulation for your achievement,congratulation achievement,positive,2
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit. ",followed us recently please dont offended havent followed back hit limit,positive,2
 Yes i work 9 to 5 ,yes work,neutral,1
" Hmmm, maybe that`s what they meant. ",hmmm maybe thats meant,neutral,1
Done at the spa   now meeting vic for some late lunch!,done spa meeting vic late lunch,neutral,1
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,happy monday going tavares today hope everyone blessed day,positive,2
 Always have wanted to go to university,always wanted go university,neutral,1
 Thanks,thanks,neutral,1
Really great football match,really great football match,positive,2
  that`s why I need to be there,thats need,positive,2
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,okay im dedicating th tweet fact im going apple store huge crack glass screen,neutral,1
 If only we could ever actually be allowed to stay here and do that,could ever actually allowed stay,neutral,1
 Let me know how that turns out!!,let know turns,neutral,1
 was that sass I detect?  As long as it isn`t back sass! Haha,sass detect long isnt back sass haha,neutral,1
" yeah I was thinking about that ,ahaha",yeah thinking ahaha,positive,2
Today is our EEE day,today eee day,neutral,1
I`m not sleeping at all until  accepts my appology,im sleeping accepts appology,negative,0
I'm studying in psychology,im studying psychology,negative,0
" I live for pain, bring it on",live pain bring,neutral,1
"okay, i`m out for a while  back later!",okay im back later,neutral,1
"We visited worlds longest sea beach, Its really amazing time for us",visited worlds longest sea beach really amazing time us,positive,2
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. ,almost died laptop screen set brightness reinstalled windows vista,positive,2
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,waiting tish get got drive moms crv pick duckie first time,neutral,1
your attitude looks like autistics child,attitude looks like autistics child,negative,0
going to shower because i don`t want to smell at school tomorrow,going shower dont want smell school tomorrow,neutral,1
Do you know sign languages,know sign languages,neutral,1
 Since the demise of Woolworths it isn`t easy to find reasonably priced pick n mix anywhere,since demise woolworths isnt easy find reasonably priced pick n mix anywhere,negative,0
may the fourth be with you! happy star wars day,may fourth happy star wars day,positive,2
just got home from work,got home work,neutral,1
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,yes please dont go die cry normally leads small animals getting harmed,negative,0
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,writing report cards soooo tired amazing day check fb soon,positive,2
 it was only once for my big brother,big brother,neutral,1
good news: finally finished my bachelor degree,good news finally finished bachelor degree,neutral,1
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",well good morning wonderful day neighborhood thanks following another morning,positive,2
"yesterday I'm watch a movie, that’s was really motivated for me",yesterday im watch movie thats really motivated,positive,2
  hope he is ok!,hope ok,positive,2
can`t school just be done already? it hurts too much... seeing him every day,cant school done already hurts much seeing every day,positive,2
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",waited listening wind blowing tumbleweed none old enough know someone says crackerack,neutral,1
 Hell Yeah!,hell yeah,neutral,1
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,shirt dinner need ask actually ville,neutral,1
 i know!!,know,neutral,1
 Smelly? Noooo. I love alex Vixon,smelly noooo love alex vixon,neutral,1
"Went to a party last night. GREAT MINDS THINK ALIKE  Anyway, happy birthday",went party last night great minds think alike anyway happy birthday,positive,2
" Happy birthday! Just woke up on this side of Earth, so wishes are bit late",happy birthday woke side earth wishes bit late,positive,2
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",thank teaching values better person day love much youre best mum world,positive,2
HAPPY MOTHERS DAY.!,happy mothers day,positive,2
" laughs I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",laughs im glad self confidence wonderful trait ill applaud extra loud okay,positive,2
  Thanks,thanks,positive,2
twittering after 2 days!,twittering days,neutral,1
Getting ready for week  Its too nice today to be stuck inside working!,getting ready week nice today stuck inside working,positive,2
I am tres depressed,tres depressed,negative,0
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",felt like behaved like son ate compensate pigged homeroasted sugar almonds painful tum threw still feel sick,negative,0
Happy Mothers Day people. i love my mom a lot still,happy mothers day people love mom lot still,positive,2
 I`m sorry to hear that.,im sorry hear,negative,0
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",thats awesome dude yay surprise celebrities got meet years ago soooo friendly,positive,2
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",makes happy hear girl talk tweet nba could give nuggets love,positive,2
Is getting the hang of Twitter.,getting hang twitter,neutral,1
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,know neck jacked forced pay parking bc cant turn head parallel park free spaces,negative,0
I want it BACK NOW!,want back,neutral,1
Going to miss my roomie ... We will no longer be roomies starting tomorrow,going miss roomie longer roomies starting tomorrow,negative,0
"bathing with two little angels, Keyla and Janice.",bathing two little angels keyla janice,neutral,1
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",yep finished chocked full spelling grammatical errors im cleaning tomorrow popping hehe,negative,0
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,hahahha lol true always remember bd never remember date even day,neutral,1
"Family is here,hanging with them",family herehanging,neutral,1
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,watching ellen love dishes tanning gorgeous,positive,2
 what`s goin on hun?  I`m worried about you,whats goin hun im worried,negative,0
 Im not bannished... but I am at work till 6,im bannished work till,negative,0
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",morning get see ill let know right im going go see wolverine,neutral,1
Grabbing coffee from  then making mom breakfast,grabbing coffee making mom breakfast,neutral,1
im thinking that im going to have fun tonight....and maybe some changes are coming,im thinking im going fun tonightand maybe changes coming,positive,2
Grabbing coffee from  then making mom breakfast,grabbing coffee making mom breakfast,neutral,1
im thinking that im going to have fun tonight....and maybe some changes are coming,im thinking im going fun tonightand maybe changes coming,positive,2
 thanks. before the major chop.,thanks major chop,neutral,1
" Haha I know, I cant handle the fame!  and thank you!",haha know cant handle fame thank,positive,2
just got up and updated my ipod,got updated ipod,neutral,1
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,yes sober hahaha tanghaling tapat dude haha wild dont knowwww plan plan go us,positive,2
 We never miss ICarly - my son has a huge crush on Miranda,never miss icarly son huge crush miranda,positive,2
Saw James carville in the store today. His head is really that bald,saw james carville store today head really bald,neutral,1
I love blue and programming,love blue programming,neutral,1
 which means you`re just going to have to come back to vancouver and have it our way! hahah,means youre going come back vancouver way hahah,neutral,1
Feeling smooth like chrome,feeling smooth like chrome,positive,2
Errors are red but my life is looks like blue film,errors red life looks like blue film,negative,0
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",downloading songs trying sneak lil homework main priority songs lol,neutral,1
"Errors are red but my life is blue, I love rose and your lips baby",errors red life blue love rose lips baby,positive,2
 Sounds like me,sounds like,neutral,1
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,bad day day realize mess youve put one happiest days life,neutral,1
Walking to class. I hate not having a bike....especially mine.,walking class hate bikeespecially mine,negative,0
sounds good,sounds good,neutral,1
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",failed inspection know pass wooven woantitip bracket sold woven worse taxes,negative,0
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",jonas brothers live party rocking hard love song,positive,2
happy mother`s day to all the mothers in the world.,happy mothers day mothers world,positive,2
"I've got a fever, can you chcek, a good song, I'm listening this song everytime",ive got fever chcek good song im listening song everytime,positive,2
Fun night! Listened through the next episode of this turkey drama,fun night listened next episode turkey drama,positive,2
The exception for a short dude: Larenz fineass Tate yum,exception short dude larenz fineass tate yum,neutral,1
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",screw reviews thought wolverine awesome enough dominic monaghan liking,positive,2
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",followed us recently please dont offended havent followed back hit limit hopefully free soon,positive,2
 Yes i work 6 to 3...,yes work,neutral,1
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",hmmm maybe thats meant eluded something brand new know media,neutral,1
Done at the spa   now meeting vic for some late lunch!,done spa meeting vic late lunch,neutral,1
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,happy monday going tavares today hope everyone blessed day,positive,2
 Always have wanted to go to Oz,always wanted go oz,neutral,1
 Thx,thx,neutral,1
I love this youtube tutorial,love youtube tutorial,positive,2
  that`s why I need to be there...To represent the Blackberries,thats need thereto represent blackberries,positive,2
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,okay im dedicating th tweet fact im going apple store huge crack glass screen,neutral,1
 If only we could ever actually be allowed to stay here and do that,could ever actually allowed stay,neutral,1
 Let me know how that turns out!!,let know turns,neutral,1
 was that sass I detect?  As long as it isn`t back sass! Haha,sass detect long isnt back sass haha,neutral,1
" yeah I was thinking about that ,ahaha",yeah thinking ahaha,positive,2
 Dont know whether that helps. Google it to know more,dont know whether helps google know,neutral,1
I`m not sleeping at all until  accepts my appology,im sleeping accepts appology,negative,0
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",wolverine boss seriously william,negative,0
" I live for pain, bring it on",live pain bring,neutral,1
"okay, i`m out for a while  back later!",okay im back later,neutral,1
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,powerblog powerblog challenge keep talking im newbie follower,neutral,1
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,almost died laptop screen set brightness reinstalled windows vista got headache insanedefaults,positive,2
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,waiting tish get got drive moms crv pick duckie first time,neutral,1
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",trying decide movie friends going well lol p bible study nite means day cake buy,negative,0
going to shower because i don`t want to smell at school tomorrow,going shower dont want smell school tomorrow,neutral,1
 Sigh... you know I am...,sigh know,neutral,1
"discovered cause of a bug in the new  4 build. Publishing bug fix now, hopefully new beta by tomorrow",discovered cause bug new build publishing bug fix hopefully new beta tomorrow,positive,2
Here are 4 FREE notebooks to know machine learning well,free notebooks know machine learning well,neutral,1
just got home from work.... and is chugging down a big bottle of apple juice.,got home work chugging big bottle apple juice,neutral,1
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,yes please dont go die cry normally leads small animals getting harmed,negative,0
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,writing report cards soooo tired amazing day check fb soon,positive,2
 it was only once for my big brother...and I`m done now,big brotherand im done,neutral,1
good news: finally finished my workout that has been paused for 6 hours. bad news: my resistance band is torn,good news finally finished workout paused hours bad news resistance band torn,neutral,1
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",well good morning wonderful day neighborhood thanks following another morning,positive,2
FTSK and Mercy Mercedes were amazing tonight.. as always,ftsk mercy mercedes amazing tonight always,positive,2
  hope he is ok!,hope ok,positive,2
can`t school just be done already? it hurts too much... seeing him every day,cant school done already hurts much seeing every day,positive,2
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",waited listening wind blowing tumbleweed none old enough know someone says crackerack,neutral,1
 Hell Yeah!,hell yeah,neutral,1
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,shirt dinner need ask actually ville,neutral,1
 i know!!,know,neutral,1
 huh what the ****? Smelly? Noooo. I love alex Vixon,huh smelly noooo love alex vixon,neutral,1
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",went party last night dindin showed matching outfits great minds think alike anyway happy birthday ate lara,positive,2
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",happy bday woke side earth wishes bit late,positive,2
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",thank teaching values better person day love much youre best mum world,positive,2
HAPPY MOTHERS DAY.!,happy mothers day,positive,2
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",laughs im glad self confidence wonderful trait ill applaud extra loud okay,positive,2
  Thanks,thanks,positive,2
twittering after 2 days!,twittering days,neutral,1
Getting ready for week  Its too nice today to be stuck inside working!,getting ready week nice today stuck inside working,positive,2
I am tres depressed,tres depressed,negative,0
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",felt like behaved like son ate compensate pigged homeroasted sugar almonds painful tum threw still feel sick,negative,0
Happy Mothers Day people. i love my mom a lot still,happy mothers day people love mom lot still,positive,2
 I`m sorry to hear that.,im sorry hear,negative,0
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",thats awesome dude yay surprise celebrities got meet years ago soooo friendly,positive,2
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",makes happy hear girl talk tweet nba could give nuggets love,positive,2
Is getting the hang of Twitter.,getting hang twitter,neutral,1
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,know neck jacked forced pay parking bc cant turn head parallel park free spaces,negative,0
I want it BACK NOW!,want back,neutral,1
Going to miss my roomie ... We will no longer be roomies starting tomorrow,going miss roomie longer roomies starting tomorrow,negative,0
"bathing with two little angels, Keyla and Janice.",bathing two little angels keyla janice,neutral,1
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",yep finished chocked full spelling grammatical errors im cleaning tomorrow popping hehe,negative,0
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,hahahha lol true always remember bd never remember date even day,neutral,1
"Family is here,hanging with them",family herehanging,neutral,1
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,watching ellen love dishes tanning gorgeous,positive,2
 what`s goin on hun?  I`m worried about you,whats goin hun im worried,negative,0
 Im not bannished... but I am at work till 6,im bannished work till,negative,0
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",morning get see ill let know right im going go see wolverine,neutral,1
" red top tabloids, build em up, knock em down",red top tabloids build em knock em,neutral,1
tonight in party w/ my girls (minus vita),tonight party w girls minus vita,positive,2
  why not now you made me sad I thought you`d be jumping for joy,made sad thought youd jumping joy,neutral,1
 Simple my,simple,neutral,1
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",pics uploaded baby pics cats missy adult pretty little kitty batty kitten heaven,neutral,1
" I saw the play of it here, it was amazing",saw play amazing,positive,2
i am glad to break my twitter virginity with you two.,glad break twitter virginity two,positive,2
Dinner with the fam... I have missed them,dinner fam missed,negative,0
"Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",live thats want better bound bad eggs though soon learn,neutral,1
Hell yeah Kellynn got a Twitter. Finally.,hell yeah kellynn got twitter finally,neutral,1
" I know   It was worth a shot, though!",know worth shot though,positive,2
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",opened facebook account im little confused dont really get twitter seems much better,positive,2
Ship. I`m stuck.,ship im stuck,negative,0
DUSTBIN BABY ON AT 11.30 Cannot wait  x,dustbin baby cannot wait x,positive,2
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",going dwell happened passed shame supportive life x,negative,0
whats the day going on,whats day going,neutral,1
It looks like the office TV DOES get MLB Network,looks like office tv get mlb network,neutral,1
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,home empty handed comics found today shall indulge cupcakes magnolia bakery,neutral,1
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,laying bed til workkk oh life definitely pinched nerve,negative,0
today is a busy day. exhausting!,today busy day exhausting,negative,0
" I was going to go on Sunday, but now I`ve got too much going on that weekend",going go sunday ive got much going weekend,neutral,1
 Sorry to hear ur flight got cancelled  that blows!!!,sorry hear ur flight got cancelled blows,negative,0
ohh my tooth is hurts ohh  im sad it very hurts,ohh tooth hurts ohh im sad hurts,negative,0
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",get distracted id like thank new followers taking trouble follow others feelin love,positive,2
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,u think u bills haii finished paying mine thats im broke,negative,0
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,sure didnt say big jst saw pics u ur last bday looked pretty miss,neutral,1
sore throat. Planning the TET outing to Marwell though...good times,sore throat planning tet outing marwell thoughgood times,neutral,1
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,mcfly gig last nightt omg amazin didnt sit whole thing mcfly see best mate tutus,positive,2
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,days without sleep migraine thought life postr meant relaxing,negative,0
 There!,,neutral,1
?sucks!?..,sucks,negative,0
 whens the sway sway winner announced?,whens sway sway winner announced,neutral,1
 K will check it out...,k check,neutral,1
" doing pretty well, up and wide awake",pretty well wide awake,positive,2
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",want wake early get coffee tomorrow today going busyy day keep writing booo whoo,neutral,1
I Miss Daddy and Mommy,miss daddy mommy,negative,0
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",dog officially depressed brothers dogs gone doesnt want go outside play halfheartedly,negative,0
I just realized that I can`t forward text msgs with my iPhone.,realized cant forward text msgs iphone,neutral,1
"My frist post... Off to find a new car for my parents, exciting!",frist post find new car parents exciting,positive,2
